"Id_Customer","Y","Customer_Type","BirthDate","Customer_Open_Date","P_Client","Educational_Level","Marital_Status","Number_Of_Dependant","Years_At_Residence","Net_Annual_Income","Years_At_Business","Prod_Sub_Category","Prod_Decision_Date","Source","Type_Of_Residence","Nb_Of_Products","Prod_Closed_Date","Prod_Category"
7440,0,"Non Existing Client","07/08/1977","13/02/2012","NP_Client","University","Married",3,1,"36",1,"C","14/02/2012","Sales","Owned",1,"","B"
573,0,"Existing Client","13/06/1974","04/02/2009","P_Client","University","Married",0,12,"18",2,"C","30/06/2011","Sales","Parents",1,"","G"
9194,0,"Non Existing Client","07/11/1973","03/04/2012","NP_Client","University","Married",2,10,"36",1,"C","04/04/2012","Sales","Owned",1,"","B"
3016,1,"Existing Client","08/07/1982","25/08/2011","NP_Client","University","Married",3,3,"36",1,"C","07/09/2011","Sales","New rent",1,"31/12/2012","L"
6524,0,"Non Existing Client","18/08/1953","10/01/2012","NP_Client","University","Married",2,1,"36",1,"C","11/01/2012","Sales","Owned",1,"","D"
3858,0,"Existing Client","04/03/1983","15/09/2011","NP_Client","University","Married",0,28,"60",2,"C","04/10/2011","Sales","Old rent",1,"","C"
2189,0,"Non Existing Client","25/09/1979","17/07/2011","NP_Client","University","Married",0,10,"36",1,"C","28/07/2011","Sales","Owned",1,"","B"
9338,0,"Non Existing Client","04/10/1953","11/04/2012","NP_Client","University","Married",0,15,"36",1,"C","12/04/2012","Sales","Owned",1,"16/04/2013","B"
9578,0,"Existing Client","01/03/1974","20/02/2001","NP_Client","University","Single",0,0,"500",3,"P","02/04/2012","Branch","Owned",1,"","E"
173,1,"Existing Client","13/02/1963","27/04/2011","NP_Client","University","Married",4,35,"87,6",2,"C","03/05/2011","Sales","Owned",1,"18/11/2012","L"
6439,0,"Non Existing Client","27/04/1987","12/12/2011","NP_Client","University","Single",0,10,"36",3,"C","09/01/2012","Sales","Owned",1,"","B"
3921,0,"Non Existing Client","21/09/1959","18/09/2011","NP_Client","University","Married",0,10,"18",2,"C","02/10/2011","Sales","Owned",2,"","B"
6961,0,"Existing Client","26/03/1981","30/04/2007","P_Client","University","Single",0,2,"29,82",4,"C","12/02/2012","Branch","Owned",1,"","G"
9242,0,"Non Existing Client","18/07/1987","04/04/2012","NP_Client","University","Married",0,15,"36",1,"C","05/04/2012","Sales","Owned",1,"","B"
5086,0,"Non Existing Client","01/01/1974","13/11/2011","NP_Client","University","Married",0,1,"36",1,"G","17/11/2011","Sales","Owned",1,"","C"
5841,0,"Non Existing Client","11/06/1969","15/12/2011","NP_Client","University","Married",0,10,"36",1,"C","20/12/2011","Sales","Owned",1,"","B"
6825,0,"Non Existing Client","02/03/1974","15/01/2012","NP_Client","University","Married",0,15,"30",1,"C","24/01/2012","Sales","Owned",1,"","B"
141,0,"Existing Client","23/09/1987","25/11/2010","NP_Client","University","Single",0,10,"18",1,"C","10/05/2011","Sales","Owned",1,"","B"
6582,1,"Non Existing Client","01/07/1982","12/01/2012","NP_Client","University","Married",2,1,"36",1,"C","15/01/2012","Sales","Owned",1,"30/09/2012","B"
